gene_symbol,human_gene_id,ensembl_gene_id,uniprot_id,synonyms,description,curated_gene_list,curation_evidence,sub_mito_location,pathways,targetp_score,mito_domain_score,coexpression_gnf_n50_score,pgc_induction_score,yeast_mito_homolog_score,rickettsia_homolog_score,msms_score
NLN,57486,ENSG00000123213,Q9BYT8,AGTBP|EP24.16|MEP|MOP,neurolysin,curated,"literature, APEX_matrix, targetP signal+, mito protein domain, MS/MS++",Matrix,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",1.0,SharedDomain,4.0,,HomologMitoLowConf,NoHomolog,50-75pure
BOLA1,51027,ENSG00000178096,Q9Y3E2,CGI-143,bolA family member 1,curated,"GFP, Rickettsial homolog, mito protein domain, coexpression, MS/MS++",Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,5.0,SharedDomain,18.0,,NoMitoHomolog,Homolog,50-75pure
ALAS2,212,ENSG00000158578,P22557,ALAS-E|ALASE|ANH1|ASB|SIDBA1|XLDPP|XLEPP|XLSA,5'-aminolevulinate synthase 2,curated,"literature, yeast mito homolog+, Rickettsial homolog, mito protein domain+, coexpression",Matrix,Metabolism > Metals and cofactors > Heme synthesis and processing,5.0,MitoDomain,5.0,,OrthologMitoLowConf,Homolog,
GRPEL2,134266,ENSG00000164284,Q8TAA5,Mt-GrpE#2,"GrpE like 2, mitochondrial",curated,"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain+",Matrix,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis",1.0,MitoDomain,3.0,,HomologMitoLowConf,Homolog,0-25ambig
ALDH7A1,501,ENSG00000164904,P49419,ATQ1|EPD|PDE,aldehyde dehydrogenase 7 family member A1,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog, mito protein domain, MS/MS++",Matrix,Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Metabolism > Detoxification > ROS and glutathione metabolism,2.0,SharedDomain,2.0,,HomologMitoHighConf,NoHomolog,50-75pure
HDHD5,27440,ENSG00000069998,Q9BXW7,CECR5,haloacid dehalogenase like hydrolase domain containing 5,curated,"APEX_matrix, targetP signal, yeast mito homolog, mito protein domain, MS/MS++",Matrix,0,2.0,SharedDomain,,,HomologMitoHighConf,NoHomolog,50-75pure
GFER,2671,ENSG00000127554,P55789,ALR|ERV1|HERV1|HPO|HPO1|HPO2|HSS|MMCHD|MPMCD,"growth factor, augmenter of liver regeneration",curated,"literature, GFP, yeast mito homolog++, mito protein domain, coexpression, MS/MS",IMS,"Protein import, sorting and homeostasis > Protein import and sorting > MIA40",,SharedDomain,11.0,,OrthologMitoHighConf,NoHomolog,50-75ambig
IMMP2L,83943,ENSG00000184903,Q96T52,IMMP2L-IT1|IMP2|IMP2-LIKE,inner mitochondrial membrane peptidase subunit 2,curated,"literature, yeast mito homolog++, mito protein domain, coexpression, MS/MS",MIM,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",,SharedDomain,19.0,,OrthologMitoHighConf,NoHomolog,50-75ambig
COX4I2,84701,ENSG00000131055,Q96KJ9,COX4|COX4-2|COX4B|COX4L2|COXIV-2|dJ857M17.2,cytochrome c oxidase subunit 4I2,curated,"literature, targetP signal, yeast mito homolog++, mito protein domain+",MIM,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,3.0,MitoDomain,,,OrthologMitoHighConf,NoHomolog,0-25ambig
MRPL39,54148,ENSG00000154719,Q9NYK5,C21orf92|L39mt|L5mt|MRP-L5|MRPL5|MSTP003|PRED22|PRED66|RPML5,mitochondrial ribosomal protein L39,curated,"literature, APEX_matrix, targetP signal, Rickettsial homolog, induction, coexpression, MS/MS",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,3.0,,13.0,1.09,HomologMitoLowConf,Homolog,25-50ambig
AADAT,51166,ENSG00000109576,Q8N5Z0,KAT2|KATII|KYAT2,aminoadipate aminotransferase,curated,"targetP signal, Rickettsial homolog, mito protein domain, coexpression, MS/MS++",Matrix,Metabolism > Amino acid metabolism > Lysine metabolism,3.0,SharedDomain,8.0,,NoMitoHomolog,Homolog,50-75pure
FUNDC2,65991,ENSG00000165775,Q9BWH2,DC44|HCBP6|HCC3|PD03104,FUN14 domain containing 2,curated,"mito protein domain+, MS/MS++",MOM,Mitochondrial dynamics and surveillance > Organelle contact sites | Signaling,4.0,MitoDomain,0.0,0.27,NoMitoHomolog,NoHomolog,75-100pure
LYPLA1,10434,ENSG00000120992,O75608,APT-1|APT1|LPL-I|LPL1|hAPT1,lysophospholipase 1,curated,"Rickettsial homolog, mito protein domain, coexpression, MS/MS++",unknown,Metabolism > Lipid metabolism | Signaling,4.0,SharedDomain,9.0,,NoMitoHomolog,Homolog,75-100pure
PDHA2,5161,ENSG00000163114,P29803,PDHAL,pyruvate dehydrogenase E1 subunit alpha 2,curated,"targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+",Matrix,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,1.0,MitoDomain,,,OrthologMitoLowConf,Homolog,
MTRF1L,54516,ENSG00000112031,Q9UGC7,HMRF1L|MRF1L|mtRF1a,mitochondrial translational release factor 1 like,curated,"literature, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain",Matrix,Mitochondrial central dogma > Translation > Translation factors,1.0,SharedDomain,4.0,,OrthologMitoLowConf,Homolog,0-25ambig
GTPBP3,84705,ENSG00000130299,Q969Y2,COXPD23|GTPBG3|MSS1|MTGP1|THDF1,"GTP binding protein 3, mitochondrial",curated,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain",Matrix,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Metabolism > Vitamin metabolism > Folate and 1-C metabolism,1.0,SharedDomain,4.0,,OrthologMitoLowConf,Homolog,0-25ambig
MTHFD2L,441024,ENSG00000163738,Q9H903,-,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like,curated,"literature, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain",Matrix,Metabolism > Vitamin metabolism > Folate and 1-C metabolism,1.0,SharedDomain,1.0,,OrthologMitoLowConf,Homolog,0-25ambig
YME1L1,10730,ENSG00000136758,Q96TA2,FTSH|MEG4|OPA11|PAMP|YME1L,YME1 like 1 ATPase,curated,"literature, APEX_IMS, Rickettsial homolog, mito protein domain+, MS/MS+",MIM,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",5.0,MitoDomain,4.0,,HomologMitoLowConf,Homolog,25-50pure
ACOT2,10965,ENSG00000119673,P49753,CTE-IA|CTE1A|MTE1|PTE2|PTE2A|ZAP128,acyl-CoA thioesterase 2,curated,"literature, mito protein domain, induction, coexpression, MS/MS++",Matrix,Metabolism > Lipid metabolism,4.0,SharedDomain,8.0,1.24,NoMitoHomolog,NoHomolog,50-75pure
COA8,84334,ENSG00000256053,Q96IL0,APOP|APOP1|APOPT1|C14orf153,cytochrome c oxidase assembly factor 8,curated,"literature, targetP signal, mito protein domain+, coexpression+",MIM,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,2.0,MitoDomain,32.0,,NoMitoHomolog,NoHomolog,0-25ambig
MMAB,326625,ENSG00000139428,Q96EY8,ATR|CFAP23|cblB|cob,metabolism of cobalamin associated B,curated,"APEX_matrix, GFP, targetP signal, coexpression, MS/MS++",Matrix,Metabolism > Vitamin metabolism > Vitamin B12 metabolism,2.0,,29.0,,NoMitoHomolog,NoHomolog,50-75pure
PPOX,5498,ENSG00000143224,P50336,PPO|V290M|VP,protoporphyrinogen oxidase,curated,"literature, APEX_matrix, yeast mito homolog++, mito protein domain, coexpression, MS/MS",MIM,Metabolism > Metals and cofactors > Heme synthesis and processing,4.0,SharedDomain,6.0,,OrthologMitoHighConf,NoHomolog,25-50ambig
ABCD3,5825,ENSG00000117528,P28288,ABC43|CBAS5|PMP70|PXMP1|ZWS2,ATP binding cassette subfamily D member 3,curated,"GFP, targetP signal, Rickettsial homolog, mito protein domain, induction, coexpression",Membrane,Small molecule transport > ABC transporters,2.0,SharedDomain,12.0,1.36,NoMitoHomolog,Homolog,50-75crude
SIRT3,23410,ENSG00000142082,Q9NTG7,SIR2L3,sirtuin 3,curated,"literature, APEX_matrix, mito protein domain, induction, coexpression, MS/MS+",Matrix,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism | Signaling,4.0,SharedDomain,18.0,1.81,NoMitoHomolog,NoHomolog,25-50pure
LDHD,197257,ENSG00000166816,Q86WU2,DLACD|DLD,lactate dehydrogenase D,curated,"literature, yeast mito homolog+, mito protein domain, MS/MS++",MIM,Metabolism > Carbohydrate metabolism,5.0,SharedDomain,4.0,,OrthologMitoLowConf,NoHomolog,50-75pure
MRPL45,84311,ENSG00000277936|ENSG00000278845,B4DEF8,L45mt|MRP-L45,mitochondrial ribosomal protein L45,curated,"literature, APEX_matrix, mito protein domain, induction, coexpression, MS/MS+",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,4.0,SharedDomain,26.0,1.2,NoMitoHomolog,NoHomolog,25-50pure
IMMP1L,196294,ENSG00000148950,Q96LU5,IMMP1|IMP1|IMP1-LIKE,inner mitochondrial membrane peptidase subunit 1,curated,"literature, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS",MIM,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",,SharedDomain,,,OrthologMitoHighConf,Ortholog,25-50ambig
POLG,5428,ENSG00000140521,P54098,MDP1|MIRAS|MTDPS4A|MTDPS4B|PEO|POLG1|POLGA|SANDO|SCAE,"DNA polymerase gamma, catalytic subunit",curated,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain, MS/MS",Matrix,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial central dogma > mtDNA maintenance > mtDNA repair,2.0,SharedDomain,1.0,,OrthologMitoHighConf,NoHomolog,25-50ambig
ATPAF1,64756,ENSG00000123472,Q5TC12,ATP11|ATP11p,ATP synthase mitochondrial F1 complex assembly factor 1,curated,"literature, APEX_matrix, yeast mito homolog++, mito protein domain+, MS/MS",Matrix,OXPHOS > Complex V > CV assembly factors | OXPHOS > OXPHOS assembly factors,,MitoDomain,,,OrthologMitoHighConf,NoHomolog,25-50ambig
BLOC1S1,2647,ENSG00000135441,P78537,BLOS1|BORCS1|GCN5L1|MICoA|RT14,biogenesis of lysosomal organelles complex 1 subunit 1,curated,"mito protein domain, coexpression++, MS/MS",unknown,Signaling,4.0,SharedDomain,40.0,,NoMitoHomolog,NoHomolog,50-75ambig
ALDH1L2,160428,ENSG00000136010,Q3SY69,mtFDH,aldehyde dehydrogenase 1 family member L2,curated,"literature, APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, coexpression, MS/MS",Matrix,Metabolism > Vitamin metabolism > Folate and 1-C metabolism,2.0,SharedDomain,5.0,,HomologMitoLowConf,Homolog,50-75ambig
COX18,285521,ENSG00000163626,Q8N8Q8,COX18HS,cytochrome c oxidase assembly factor COX18,curated,"literature, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression",MIM,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,2.0,SharedDomain,12.0,,OrthologMitoLowConf,Homolog,
CPOX,1371,ENSG00000080819,P36551,COX|CPO|CPX|HARPO|HCP,coproporphyrinogen oxidase,curated,"literature, APEX_IMS, APEX_matrix, Rickettsial homolog, mito protein domain, coexpression, MS/MS++",MIM,Metabolism > Metals and cofactors > Heme synthesis and processing,,SharedDomain,5.0,-0.18,NoMitoHomolog,Ortholog,50-75pure
NNT,23530,ENSG00000112992,Q13423,GCCD4,nicotinamide nucleotide transhydrogenase,curated,"literature, APEX_matrix, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS+",MIM,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism,5.0,SharedDomain,5.0,0.57,NoMitoHomolog,Homolog,25-50pure
NDUFAF8,284184,ENSG00000224877,A1L188,C17orf89|MC1DN34,NADH:ubiquinone oxidoreductase complex assembly factor 8,curated,"targetP signal, induction, coexpression+, MS/MS",IMS,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,2.0,,37.0,1.29,NoMitoHomolog,NoHomolog,25-50ambig
ATP23,91419,ENSG00000166896|ENSG00000262145,Q9Y6H3,KUB3|XRCC6BP1,ATP23 metallopeptidase and ATP synthase assembly factor homolog,curated,"yeast mito homolog++, mito protein domain+, coexpression",IMS,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",,MitoDomain,5.0,,OrthologMitoHighConf,NoHomolog,0-25ambig
DCAKD,79877,ENSG00000172992,Q8WVC6,-,dephospho-CoA kinase domain containing,curated,"GFP, yeast mito homolog, Rickettsial homolog, mito protein domain, coexpression, MS/MS",Membrane,0,,SharedDomain,6.0,-0.33,HomologMitoHighConf,Ortholog,50-75ambig
ATP5MF,9551,ENSG00000241468,P56134,ATP5J2|ATP5JL,ATP synthase membrane subunit f,curated,"literature, coexpression++, MS/MS++",MIM,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,,,49.0,,NoMitoHomolog,NoHomolog,50-75pure
SFXN3,81855,ENSG00000107819,Q9BWM7,BA108L7.2|SFX3|SLC56A3,sideroflexin 3,curated,"mito protein domain+, MS/MS++",MIM,Metabolism > Amino acid metabolism > Serine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Small molecule transport > Sideroflexins,,MitoDomain,0.0,-0.38,HomologMitoLowConf,NoHomolog,75-100pure
AASS,10157,ENSG00000008311,Q9UDR5,LKR/SDH|LKRSDH|LORSDH,aminoadipate-semialdehyde synthase,curated,"APEX_matrix, targetP signal, mito protein domain, coexpression, MS/MS++",Matrix,Metabolism > Amino acid metabolism > Lysine metabolism,3.0,SharedDomain,10.0,,NoMitoHomolog,NoHomolog,75-100pure
DIABLO,56616,ENSG00000184047,Q9NR28,DFNA64|SMAC,diablo IAP-binding mitochondrial protein,curated,"literature, APEX_IMS, targetP signal+, mito protein domain+, MS/MS",IMS,Mitochondrial dynamics and surveillance > Apoptosis,1.0,MitoDomain,1.0,,NoMitoHomolog,NoHomolog,50-75ambig
COX8C,341947,ENSG00000187581|ENSG00000277018,Q7Z4L0,COX8-3,cytochrome c oxidase subunit 8C,curated,"literature, targetP signal+, mito protein domain+, MS/MS",MIM,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,1.0,MitoDomain,2.0,,NoMitoHomolog,NoHomolog,50-75ambig
PXMP2,5827,ENSG00000176894,Q9NR77,MPV17L3|PMP22,peroxisomal membrane protein 2,curated,"GFP, targetP signal, yeast mito homolog+, mito protein domain, induction",MIM,0,2.0,SharedDomain,4.0,0.64,OrthologMitoLowConf,NoHomolog,50-75crude
AGXT2,64902,ENSG00000113492,Q9BYV1,AGT2|BAIBA|DAIBAT,alanine--glyoxylate aminotransferase 2,curated,"literature, yeast mito homolog++, mito protein domain, MS/MS+",Matrix,Metabolism > Amino acid metabolism > Glyoxylate metabolism,4.0,SharedDomain,,,OrthologMitoHighConf,NoHomolog,25-50pure
GLS2,27165,ENSG00000135423,Q9UI32,GA|GLS|LGA|hLGA,glutaminase 2,curated,"targetP signal, mito protein domain+, MS/MS++",Matrix,Metabolism > Amino acid metabolism > Glutamate metabolism,3.0,MitoDomain,2.0,,NoMitoHomolog,NoHomolog,50-75pure
APOO,79135,ENSG00000184831,Q9BUR5,FAM121B|MIC26|MICOS26|Mic23|My025,apolipoprotein O,curated,"literature, APEX_IMS, mito protein domain+, MS/MS++",MIM,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex,4.0,MitoDomain,,,NoMitoHomolog,NoHomolog,75-100pure
ACAD11,84129,ENSG00000240303,Q709F0,ACAD-11,acyl-CoA dehydrogenase family member 11,curated,"mito protein domain+, induction, coexpression",MIM,Metabolism > Lipid metabolism > Fatty acid oxidation,,MitoDomain,25.0,2.12,NoMitoHomolog,NoHomolog,75-100crude
C5orf63,401207,ENSG00000164241,A6NC05,YDR286C,chromosome 5 open reading frame 63,curated,"targetP signal+, coexpression+, MS/MS",Matrix,0,1.0,,38.0,,NoMitoHomolog,NoHomolog,50-75ambig
HOGA1,112817,ENSG00000241935,Q86XE5,C10orf65|DHDPS2|DHDPSL|HP3|NPL2,4-hydroxy-2-oxoglutarate aldolase 1,curated,"GFP, targetP signal, Rickettsial homolog, mito protein domain, coexpression, MS/MS",Matrix,Metabolism > Amino acid metabolism > Glyoxylate metabolism,2.0,SharedDomain,11.0,,NoMitoHomolog,Homolog,50-75ambig
TTC19,54902,ENSG00000011295,Q6DKK2,2010204O13Rik|MC3DN2,tetratricopeptide repeat domain 19,curated,"literature, APEX_IMS, targetP signal+, mito protein domain, induction, MS/MS+",MIM,OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors,1.0,SharedDomain,2.0,1.39,NoMitoHomolog,NoHomolog,25-50pure
NGRN,51335,ENSG00000182768,Q9NPE2,DSC92,"neugrin, neurite outgrowth associated",curated,"APEX_matrix, yeast mito homolog++, mito protein domain+, coexpression",Matrix,Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications | Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly,5.0,MitoDomain,6.0,,OrthologMitoHighConf,NoHomolog,
TCAIM,285343,ENSG00000179152,Q8N3R3,C3orf23|TOAG-1|TOAG1,"T cell activation inhibitor, mitochondrial",curated,"literature, APEX_matrix, targetP signal, mito protein domain+, coexpression++",Matrix,0,3.0,MitoDomain,41.0,,NoMitoHomolog,NoHomolog,
GCSH,2653,ENSG00000140905,P23434,GCE|NKH,glycine cleavage system protein H,curated,"literature, APEX_matrix, targetP signal, yeast mito homolog, mito protein domain+, MS/MS",Matrix,Metabolism > Lipid metabolism > Lipoate insertion | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system,2.0,MitoDomain,,,HomologMitoHighConf,NoHomolog,0-25pure
SIRT5,23408,ENSG00000124523,Q9NXA8,SIR2L5,sirtuin 5,curated,"literature, APEX_matrix, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS",Matrix,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism,4.0,SharedDomain,10.0,0.81,NoMitoHomolog,Homolog,25-50ambig
GPT2,84706,ENSG00000166123,Q8TD30,ALT2|GPT 2|MRT49,glutamic--pyruvic transaminase 2,curated,"APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, MS/MS++",Matrix,Metabolism > Amino acid metabolism > Glutamate metabolism,2.0,SharedDomain,1.0,,NoMitoHomolog,Homolog,50-75pure
TOMM6,100188893,ENSG00000214736,Q96B49,OBTP|TOM6,translocase of outer mitochondrial membrane 6,curated,"GFP, mito protein domain+, coexpression, MS/MS+",MOM,"Protein import, sorting and homeostasis > Protein import and sorting > TOM",,MitoDomain,20.0,,NoMitoHomolog,NoHomolog,75-100ambig
FAM162A,26355,ENSG00000114023,Q96A26,C3orf28|E2IG5|HGTD-P,family with sequence similarity 162 member A,curated,"APEX_IMS, APEX_matrix, targetP signal, induction, coexpression, MS/MS++",MIM,0,3.0,,5.0,0.61,NoMitoHomolog,NoHomolog,50-75pure
ABCB6,10058,ENSG00000115657,Q9NP58,ABC|LAN|MTABC3|PRP|umat,ATP binding cassette subfamily B member 6 (Langereis blood group),curated,"literature, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression, MS/MS",MOM,Metabolism > Metals and cofactors > Heme synthesis and processing | Small molecule transport > ABC transporters,,SharedDomain,7.0,0.32,OrthologMitoLowConf,Homolog,25-50ambig
MACROD1,28992,ENSG00000133315,Q9BQ69,LRP16,mono-ADP ribosylhydrolase 1,curated,"APEX_matrix, targetP signal+, coexpression, MS/MS++",Matrix,Signaling,1.0,NonMitoDomain,10.0,0.49,NoMitoHomolog,NoHomolog,50-75pure
TST,7263,ENSG00000128311,Q16762,RDS,thiosulfate sulfurtransferase,curated,"literature, APEX_matrix, Rickettsial homolog, mito protein domain, coexpression, MS/MS++",Matrix,Metabolism > Detoxification > Xenobiotic metabolism | Metabolism > Sulfur metabolism,,SharedDomain,9.0,,NoMitoHomolog,Ortholog,50-75pure
MT-CO1,4512,ENSG00000198804,P00395,COI|MTCO1,cytochrome c oxidase subunit I,curated,"literature, APEX_IMS, yeast mito homolog++, Rickettsial homolog, mito protein domain, MS/MS",MIM,OXPHOS > Complex IV > CIV subunits | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits,,SharedDomain,,,OrthologMitoHighConf,Ortholog,0-25pure
MTFR1L,56181,ENSG00000117640,Q9H019,FAM54B|HYST1888|MST116|MSTP116,mitochondrial fission regulator 1 like,curated,"mito protein domain+, induction, coexpression, MS/MS",unknown,0,,MitoDomain,11.0,0.73,NoMitoHomolog,NoHomolog,25-50ambig
SDR39U1,56948,ENSG00000100445,Q9NRG7,C14orf124|HCDI,short chain dehydrogenase/reductase family 39U member 1,curated,"mito protein domain, coexpression, MS/MS++",unknown,0,4.0,SharedDomain,26.0,,NoMitoHomolog,NoHomolog,50-75pure
DMGDH,29958,ENSG00000132837,Q9UI17,DMGDHD|ME2GLYDH,dimethylglycine dehydrogenase,curated,"literature, targetP signal, mito protein domain, MS/MS++",Matrix,Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism,2.0,SharedDomain,2.0,,HomologMitoLowConf,NoHomolog,75-100pure
SLC25A14,9016,ENSG00000102078,O95258,BMCP1|UCP5,solute carrier family 25 member 14,curated,"literature, yeast mito homolog+, mito protein domain+, MS/MS",MIM,Metabolism > Sulfur metabolism | Small molecule transport > SLC25A family,,MitoDomain,1.0,,OrthologMitoLowConf,NoHomolog,50-75ambig
PRELID3A,10650,ENSG00000141391,Q96N28,C18orf43|HFL-EDDG1|SLMO1,PRELI domain containing 3A,curated,"yeast mito homolog+, mito protein domain+, MS/MS",IMS,Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Lipid metabolism > Phospholipid metabolism,,MitoDomain,1.0,,OrthologMitoLowConf,NoHomolog,50-75ambig
CHCHD5,84269,ENSG00000125611,Q9BSY4,C2orf9|CHTM1|MIC14|MIX14,coiled-coil-helix-coiled-coil-helix domain containing 5,curated,"APEX_IMS, yeast mito homolog++, mito protein domain, coexpression, MS/MS",IMS,0,,SharedDomain,5.0,,OrthologMitoHighConf,NoHomolog,50-75ambig
TOMM70,9868,ENSG00000154174,O94826,TOMM70A|Tom70,translocase of outer mitochondrial membrane 70,curated,"literature, yeast mito homolog+, mito protein domain, induction, coexpression",MOM,"Protein import, sorting and homeostasis > Protein import and sorting > TOM",,SharedDomain,11.0,0.68,OrthologMitoLowConf,NoHomolog,75-100crude
NIT1,4817,ENSG00000158793,Q86X76,-,nitrilase 1,curated,"APEX_matrix, targetP signal, mito protein domain, coexpression, MS/MS++",Matrix,Metabolism > Detoxification > ROS and glutathione metabolism,3.0,SharedDomain,12.0,,NoMitoHomolog,NoHomolog,50-75pure
FAHD1,81889,ENSG00000180185,Q6P587,C16orf36|YISKL,fumarylacetoacetate hydrolase domain containing 1,curated,"literature, APEX_matrix, mito protein domain, coexpression, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > TCA-associated,5.0,SharedDomain,9.0,,HomologMitoLowConf,NoHomolog,75-100pure
MCU,90550,ENSG00000156026,Q8NE86,C10orf42|CCDC109A|HsMCU,mitochondrial calcium uniporter,curated,"literature, GFP, mito protein domain+, MS/MS++",MIM,Signaling > Calcium homeostasis > Calcium cycle | Small molecule transport > Calcium uniporter,4.0,MitoDomain,2.0,,NoMitoHomolog,NoHomolog,50-75pure
CYP27A1,1593,ENSG00000135929,Q02318,CP27|CTX|CYP27,cytochrome P450 family 27 subfamily A member 1,curated,"literature, targetP signal+, mito protein domain, MS/MS++",MIM,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Metals and cofactors > Heme-containing proteins",1.0,SharedDomain,2.0,,NoMitoHomolog,NoHomolog,50-75pure
MT-ND2,4536,ENSG00000198763,P03891,MTND2,MTND2,curated,"literature, Rickettsial homolog, mito protein domain+, MS/MS+",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,,MitoDomain,,,NoMitoHomolog,Ortholog,25-50pure
MT-ND4,4538,ENSG00000198886,P03905,MTND4,"NADH dehydrogenase, subunit 4 (complex I)",curated,"literature, APEX_IMS, APEX_matrix, Rickettsial homolog, mito protein domain+, MS/MS+",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,,MitoDomain,,,NoMitoHomolog,Ortholog,25-50pure
MT-ND5,4540,ENSG00000198786,P03915,MTND5,"NADH dehydrogenase, subunit 5 (complex I)",curated,"literature, APEX_IMS, APEX_matrix, Rickettsial homolog, mito protein domain+, MS/MS+",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,,MitoDomain,,,NoMitoHomolog,Ortholog,25-50pure
DELE1,9812,ENSG00000081791,Q14154,DELE|DELE1(L)|KIAA0141,DAP3 binding cell death enhancer 1,curated,"targetP signal+, mito protein domain, induction, coexpression",MIM,Signaling,1.0,SharedDomain,26.0,1.74,NoMitoHomolog,NoHomolog,
FASTKD1,79675,ENSG00000138399,Q53R41,-,FAST kinase domains 1,curated,"APEX_matrix, induction, coexpression++",Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing | Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay,5.0,,42.0,2.7,NoMitoHomolog,NoHomolog,0-25ambig
MRPS31,10240,ENSG00000102738,Q92665,IMOGN38|MRP-S31|S31mt,mitochondrial ribosomal protein S31,curated,"literature, APEX_matrix, targetP signal, induction, coexpression, MS/MS",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,2.0,,18.0,0.96,NoMitoHomolog,NoHomolog,50-75ambig
ALDH1L1,10840,ENSG00000144908,O75891,10-FTHFDH|10-fTHF|FDH|FTHFD,aldehyde dehydrogenase 1 family member L1,curated,"APEX_matrix, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS",Matrix,Metabolism > Vitamin metabolism > Folate and 1-C metabolism,,SharedDomain,7.0,0.71,HomologMitoLowConf,Homolog,50-75ambig
PTCD1,26024,ENSG00000106246,O75127,-,pentatricopeptide repeat domain 1,curated,"targetP signal+, mito protein domain+, coexpression",Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules,1.0,MitoDomain,5.0,,NoMitoHomolog,NoHomolog,0-25ambig
HADHB,3032,ENSG00000138029,P55084,ECHB|MSTP029|MTPB|TP-BETA,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta,curated,"literature, targetP signal, Rickettsial homolog, mito protein domain, MS/MS++",MIM,Metabolism > Carbohydrate metabolism > Ketone metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Lysine metabolism,3.0,SharedDomain,,,NoMitoHomolog,Homolog,75-100pure
